country,code,percent_emissions,percent_gdp,score,rounded_score
Fiji,FJI,0.0038838093696901043,0.006514629400494437,0.5961673536479815,1.0
Finland,FIN,0.12635865900693152,0.311495673671199,0.4056514092722524,0.0
North Macedonia,MKD,0.02171157321250371,0.01394253277379481,1.5572187324035502,2.0
France,FRA,0.9121288130107614,3.209395484037083,0.2842058006087174,0.0
French Polynesia,PYF,0.0017261374976400466,0.004261487191594562,0.4050551884902324,0.0
Gabon,GAB,0.017692909350810474,0.01840866463906057,0.9611185655079313,1.0
Georgia,GEO,0.03117835855112334,0.018641941831891225,1.6724844885947323,2.0
Germany,DEU,2.1483129703050405,4.561186650185414,0.4709986972836796,0.0
Ghana,GHA,0.05024678372036572,0.07292555777997528,0.6890147329687349,1.0
Greece,GRC,0.19459503196051464,0.25092707045735474,0.7755043391923958,1.0
Greenland,GRL,0.0014024867168325377,0.0033541835241038317,0.4181305843147784,0.0
Grenada,GRD,0.0007551851552175204,0.0013929323807169345,0.542154928460225,1.0
Guatemala,GTM,0.04790031555951129,0.09347354207416564,0.5124478488416034,1.0
Guinea,GIN,0.007363055263370823,0.012256255932014832,0.6007589352093755,1.0
Guinea-Bissau,GNB,0.0011058068344256546,0.0016648231112484548,0.6642188151727467,1.0
Guyana,GUY,0.004773849016910753,0.004394568369592089,1.0863066893993663,1.0
Haiti,HTI,0.009493756237020255,0.010393390599505562,0.9134416864379075,1.0
Honduras,HND,0.028481268711060766,0.028356216531520397,1.0044100445982052,1.0
Hong Kong,HKG,0.12058688674919761,0.42274412855377,0.2852479280119909,0.0
Hungary,HUN,0.13717398926558244,0.173053152039555,0.7926696951132585,1.0
Iceland,ISL,0.011058068344256548,0.030271314535228678,0.3652985842880249,0.0
India,IND,6.620735226690401,3.2756489493201486,2.0211980371292584,2.0
Indonesia,IDN,1.3791029479191952,1.260815822002472,1.0938179263398324,1.0
Iran,IRN,1.8109609731100145,0.561186650185414,3.2270207648590348,3.0
Iraq,IRQ,0.5375300051244708,0.23856613102595797,2.2531698142264087,2.0
Ireland,IRL,0.10494376567683468,0.40914709517923364,0.2564939771376412,0.0
Israel,ISR,0.18048925209698735,0.4363411619283065,0.41364250693048943,0.0
Italy,ITA,0.9741349084338,2.412401557529048,0.403802967790975,0.0
Jamaica,JAM,0.020363028292472423,0.018270837851668727,1.1145098247704393,1.0
Japan,JPN,3.562262318957844,6.007416563658838,0.5929774107071802,1.0
Jordan,JOR,0.06624052647193678,0.05039044180346106,1.314545459440426,1.0
Kazakhstan,KAZ,0.7179922863230573,0.20148331273176762,3.5635322677015546,4.0
Kenya,KEN,0.050138900126763225,0.09735153440420272,0.5150293771291468,1.0
Kiribati,KIR,8.091269520187717e-05,0.00022938504511742894,0.35273744703128135,0.0
Kuwait,KWT,0.2620222779620789,0.14833127317676142,1.7664668572610154,2.0
Kyrgyzstan,KGZ,0.03015346441189956,0.00952155105067985,3.1668647525390905,3.0
Laos,LAO,0.007605793348976454,0.02083199936341162,0.36510145840033603,0.0
Latvia,LVA,0.02171157321250371,0.037655503601977745,0.5765843272738324,1.0
Lebanon,LBN,0.062302775305445424,0.06599975237082818,0.9439849858131162,1.0
Lesotho,LSO,0.0020228173800469294,0.0031869781903584673,0.6347132798606964,1.0
Liberia,LBR,0.0030477115192707066,0.004061131025957973,0.7504588007110131,1.0
Libya,LBY,0.15529843299080293,0.047114934337453646,3.2961615074851047,3.0
Lithuania,LTU,0.04129244545135799,0.058769418490729294,0.7026179008028087,1.0
Luxembourg,LUX,0.02573023707419694,0.0770288749369592,0.3340336606922364,0.0
Macao,MAC,0.003452274995280093,0.06249620747342398,0.055239751896115394,0.0
